ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.6594698 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28491.775], mutation: OptionalDouble[3189.5475819032763], entireMutation: OptionalDouble[47691.06713426854], copy: OptionalDouble[4287.800601202405], matching: OptionalDouble[16322.832329457908]>
<timeTaken: 1.9664127 second(s), bestFitness: -3.0, evaluation: OptionalDouble[32030.95], mutation: OptionalDouble[3307.059533386967], entireMutation: OptionalDouble[58646.89879759519], copy: OptionalDouble[4773.957915831664], matching: OptionalDouble[20602.235084416494]>
<timeTaken: 1.991321 second(s), bestFitness: -3.0, evaluation: OptionalDouble[33136.05], mutation: OptionalDouble[3296.805095796971], entireMutation: OptionalDouble[58854.94488977956], copy: OptionalDouble[4649.919839679359], matching: OptionalDouble[20497.51719712011]>
<timeTaken: 1.6179914 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27381.63], mutation: OptionalDouble[3026.668016604232], entireMutation: OptionalDouble[46702.59018036072], copy: OptionalDouble[4321.087174348698], matching: OptionalDouble[16046.614431998076]>
<timeTaken: 1.949655 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31633.835], mutation: OptionalDouble[3167.016574585635], entireMutation: OptionalDouble[58270.506012024045], copy: OptionalDouble[4817.184368737475], matching: OptionalDouble[20556.039277897147]>
<timeTaken: 1.2982601 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21647.065], mutation: OptionalDouble[3069.679007384337], entireMutation: OptionalDouble[36814.699398797595], copy: OptionalDouble[4012.6603206412824], matching: OptionalDouble[12060.830884424942]>
<timeTaken: 1.6213337 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27432.75], mutation: OptionalDouble[3247.206661619985], entireMutation: OptionalDouble[46928.47695390782], copy: OptionalDouble[4278.441883767535], matching: OptionalDouble[15993.502999382186]>
<timeTaken: 1.3858006 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[21723.245], mutation: OptionalDouble[3094.9976936087337], entireMutation: OptionalDouble[40569.76452905811], copy: OptionalDouble[4351.017034068136], matching: OptionalDouble[13431.788801649614]>
<timeTaken: 1.6124818 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27825.71], mutation: OptionalDouble[2992.79], entireMutation: OptionalDouble[45989.28857715431], copy: OptionalDouble[4325.526052104208], matching: OptionalDouble[15793.687046382114]>
<timeTaken: 1.6818817 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27964.185], mutation: OptionalDouble[3252.7977334817365], entireMutation: OptionalDouble[48812.64529058116], copy: OptionalDouble[4703.78256513026], matching: OptionalDouble[16755.70453633079]>
<timeTaken: 1.301336 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21864.655], mutation: OptionalDouble[2985.7113995656346], entireMutation: OptionalDouble[36449.268537074146], copy: OptionalDouble[4263.431863727455], matching: OptionalDouble[11960.513261591392]>
<timeTaken: 1.2787767 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[21218.985], mutation: OptionalDouble[3001.447274214994], entireMutation: OptionalDouble[36132.745490981964], copy: OptionalDouble[4164.123246492986], matching: OptionalDouble[11702.868118307391]>
<timeTaken: 1.1921268 second(s), bestFitness: -0.85, evaluation: OptionalDouble[15651.395], mutation: OptionalDouble[2476.818181818182], entireMutation: OptionalDouble[36437.03907815631], copy: OptionalDouble[3861.392785571142], matching: OptionalDouble[8284.428741483676]>
<timeTaken: 1.2828863 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21358.58], mutation: OptionalDouble[2943.1474123623198], entireMutation: OptionalDouble[35909.754509018036], copy: OptionalDouble[4407.349699398797], matching: OptionalDouble[11864.676235787436]>
<timeTaken: 1.6535785 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27603.415], mutation: OptionalDouble[3114.5130035696075], entireMutation: OptionalDouble[47791.30260521042], copy: OptionalDouble[4661.057114228457], matching: OptionalDouble[16276.34312320917]>
<timeTaken: 1.6197422 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27338.845], mutation: OptionalDouble[3340.6368269667455], entireMutation: OptionalDouble[46570.0], copy: OptionalDouble[4431.302605210421], matching: OptionalDouble[15867.846880337587]>
<timeTaken: 1.3098703 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21895.2], mutation: OptionalDouble[3181.8480016148565], entireMutation: OptionalDouble[36660.08016032064], copy: OptionalDouble[4459.96492985972], matching: OptionalDouble[12014.996090068775]>
<timeTaken: 1.3327496 second(s), bestFitness: -0.85, evaluation: OptionalDouble[17992.48], mutation: OptionalDouble[3797.0976253298154], entireMutation: OptionalDouble[39938.77254509018], copy: OptionalDouble[4486.89378757515], matching: OptionalDouble[9108.443028210868]>
<timeTaken: 1.3214402 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22048.885], mutation: OptionalDouble[3082.0496050711877], entireMutation: OptionalDouble[37217.084168336674], copy: OptionalDouble[4173.982965931864], matching: OptionalDouble[12138.680713516102]>
<timeTaken: 1.6996228 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28024.38], mutation: OptionalDouble[3301.985360473278], entireMutation: OptionalDouble[49750.52605210421], copy: OptionalDouble[4595.4308617234465], matching: OptionalDouble[16931.04430064709]>
<timeTaken: 1.224214 second(s), bestFitness: -0.85, evaluation: OptionalDouble[16224.39], mutation: OptionalDouble[3401.6548463356976], entireMutation: OptionalDouble[37232.95591182365], copy: OptionalDouble[3975.0951903807613], matching: OptionalDouble[8486.315563089847]>
